"Номер задания";"Старт задания";"Окончание задания";"Товар НО";"Категория";"Код товарной категории";"Описание товара";"Комментарий по товару";"Бренд";"Код ценовой зоны";"Код розничной сети";"Розничная сеть";"Регион";"Физический адрес";"Штрихкод";"Количество штук";"Цена конкурента";"Цена акционная\по карте";"Аналог";"Нет товара";"Дата мониторинга";"Фото";"Примечание";"Ссылка на страницу товара"
"TASK-00006249";"2025-02-24";"2025-02-25";"ТОВ483891";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКЛА";"Лапша Aroy-D рисовая 1мм Thai Agri Foods Pablic Co.Ltd 454г Китай";;"Aroy-D";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"16229912185,016229912185,0016229912185";;"287";;;" ";"2025-02-24";"http://webcache.zoomos.by/shops-parser/page-cache/1331290359?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/makarony/lapsha-risovaya-aroy-d-454g/"
"TASK-00006249";"2025-02-24";"2025-02-25";"ТОВ483892";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКЛА";"Лапша Aroy-D рисовая 5мм Thai Agri Foods Pablic Co.Ltd 454г Китай";;"Aroy-D";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"16229912222,016229912222,0016229912222";;"287";;;" ";"2025-02-24";"http://webcache.zoomos.by/shops-parser/page-cache/1331290359?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/makarony/lapsha-risovaya-aroy-d-454g/"
"TASK-00006249";"2025-02-24";"2025-02-25";"ТОВ266911";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВККН";"Молоко кокосовое Aroy-D 250мл тетрапак Таиланд";;"Aroy-D";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"8851613101378";;"169.9";;;" ";"2025-02-25";"http://webcache.zoomos.by/shops-parser/page-cache/760568661?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/rastitelnye-molochnye-produkty/moloko-kokosovoe-aroy-d-70-250ml/"
"TASK-00006249";"2025-02-24";"2025-02-25";"ТОВ089961";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВККН";"Молоко кокосовое Aroy-D 400 мл ж/б Таиланд";;"Aroy-D";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"016229001711,16229001711,0016229002732,0016229001711";;"231.9";;;" ";"2025-02-24";"http://webcache.zoomos.by/shops-parser/page-cache/760569943?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/konservy/moloko-kokosovoe-400g/"
"TASK-00006249";"2025-02-24";"2025-02-25";"ТОВ266916";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСО";"Соус Aroy-D Чили сладкий для курицы 350г Таиланд";;"Aroy-D";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"16229905248,016229905248,0016229905248";;"261.9";;;" ";"2025-02-24";"http://webcache.zoomos.by/shops-parser/page-cache/1331290987?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/sousy-ketchupy/sous-aroy-d-chili-sladkiy-dlya-kuritsy-350g-steklo/"
"TASK-00006249";"2025-02-24";"2025-02-25";"ТОВ266209";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСО";"Соус Aroy-D Шрирача чили 35% 288/230 г Таиланд";;"Aroy-D";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"16229907068,016229907068,0016229910082,0016229907068";;"209.9";;;" ";"2025-02-24";"http://webcache.zoomos.by/shops-parser/page-cache/760560979?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/sousy-ketchupy/sous-chili-aroy-d-shriracha-230ml/"
"TASK-00006249";"2025-02-24";"2025-02-25";"ТОВ561977";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБВБ";"Лапша Big Bon WOK курица в соусе терияки ООО ""Маревен Фуд Сэнтрал"" 85г чаша Россия";;"Big Bon";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"4605496023364";;"95.9";;;" ";"2025-02-25";"http://webcache.zoomos.by/shops-parser/page-cache/1552907562?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/lapsha-risovaya-big-bon-kuritsa-s-sousom-teriyaki-85g/"
"TASK-00006249";"2025-02-24";"2025-02-25";"ТОВ361168";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБВБ";"Лапша Big Bon с курицей и пряным соусом 95 г стакан Россия";;"Big Bon";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"4605496013082";;"75.5";;;" ";"2025-02-24";"http://webcache.zoomos.by/shops-parser/page-cache/601000004?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/lapsha-bystrogo-prigotovleniya-big-bon-kurinaya-s-pryanym-sousom-95g/"
"TASK-00006249";"2025-02-24";"2025-02-25";"ТОВ269662";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСЗЗЛ";"Мюсли запечённые Bionova ореховые 400г Россия";;"Bionova";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"4607013792197";;"609";;;" ";"2025-02-24";"http://webcache.zoomos.by/shops-parser/page-cache/601004597?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/diabeticheskie-produkty/myusli-khrustyashchie-zapechenye-bionova-orekhovye-400g/"
"TASK-00006249";"2025-02-24";"2025-02-25";"ТОВ269668";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСЗЗЛ";"Мюсли запечённые Bionova с ягодами 400г Россия";;"Bionova";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"4607013792173";;"609";;;" ";"2025-02-25";"http://webcache.zoomos.by/shops-parser/page-cache/601004596?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/diabeticheskie-produkty/myusli-bionova-khrustyashchie-zapechenye-yagodnye-400g/"
