"Номер задания";"Старт задания";"Окончание задания";"Товар НО";"Категория";"Код товарной категории";"Описание товара";"Комментарий по товару";"Бренд";"Код ценовой зоны";"Код розничной сети";"Розничная сеть";"Регион";"Физический адрес";"Штрихкод";"Количество штук";"Цена конкурента";"Цена акционная\по карте";"Аналог";"Нет товара";"Дата мониторинга";"Фото";"Примечание";"Ссылка на страницу товара"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ522202";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБСУ";"Бульонные кубики Maggi с говядиной на косточке 72г 8 кубиков ООО ""Нестле Россия"" Россия";;;;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4600680003559";;"59.9";"39.9";;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999499?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/sol-sakhar-spetsii-pripravy/bulon-maggi-govyazhiy-na-kostochke-80g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ454776";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСЗХЛ";"Готовый завтрак Kellogg's Unicorn Радужные колечки с фруктовым вкусом ООО ""Келлогг Рус"" 195г Россия";;;;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4610003253431";;"206.9";"149.9";;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/651386964?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/kashi-gotovye-zavtraki/gotovye-zavtraki-unicorn-raduzhnye-kolechki-s-fruktovym-vkusom-195g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ455845";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСЗХЛ";"Готовый завтрак Kellogg's Карамельные лапы из злаков ООО ""Келлогг Рус"" 220г Россия";;;;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4610003253660";;"229.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/941770107?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/kashi-gotovye-zavtraki/gotovyy-zavtrak-iz-zlakov-dinosaurs-karamelnye-lapy-220g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ456202";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСХ";"Гренки Фишка со вкусом говядины по-японски ООО ""Фортуна"" 120г Россия";;;;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4620757013816";;"74.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/651387725?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/chipsy-sneki-popkorn/grenki-fishka-so-vkusom-govyadiny-po-yaponski-120g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ518705";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАЧИКА";"Чипсы картофельные Lay's Stax Ароматные ребрышки барбекю ООО ""Фрито Лей Мануфактуринг"" 140г Россия";;;;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4690388108977";;"219.9";"199.9";;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/760563950?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/chipsy-sneki-popkorn/chipsy-lays-stax-rebryshki-barbekyu-140g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ518706";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАЧИКА";"Чипсы картофельные Lay's Stax Нежная сметана и лук ООО ""Фрито Лей Мануфактуринг"" 140г Россия";;;;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4690388108991";;"219.9";"199.9";;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/760565318?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/chipsy-sneki-popkorn/chipsy-lays-stax-smetana-luk-140g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ266911";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВККН";"Молоко кокосовое Aroy-D 250мл тетрапак Таиланд";;"Aroy-D";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`8851613101378";;"149.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/760568661?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/rastitelnye-molochnye-produkty/moloko-kokosovoe-aroy-d-70-250ml/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ266209";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСО";"Соус Aroy-D Шрирача чили 35% 288/230 г Таиланд";;"Aroy-D";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`0016229910082,0016229907068";;"183";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/760560979?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/sousy-ketchupy/sous-chili-aroy-d-shriracha-230ml/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ361168";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБВБ";"Лапша Big Bon с курицей и пряным соусом 95 г стакан Россия";;"Big Bon";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4605496013082";;"75.5";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601000004?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/lapsha-bystrogo-prigotovleniya-big-bon-kurinaya-s-pryanym-sousom-95g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ269668";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСЗЗЛ";"Мюсли запечённые Bionova с ягодами 400г Россия";;"Bionova";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607013792173";;"631";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601004596?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/diabeticheskie-produkty/myusli-bionova-khrustyashchie-zapechenye-yagodnye-400g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ269666";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСЗЗЛ";"Мюсли запечённые Bionova шоколадные 400г Россия";;"Bionova";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607013795044,4607013792203";;"532";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/760568346?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/gotovye-zavtraki-myusli/myusli-khrustyashchie-zapechenye-bionova-shokoladnye-400g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ144467";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАЧИКУ";"Чипсы кукурузные Delicados Nachos оригинальные 150 г Россия";;"Delicados";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607003120900";;"114.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601001111?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/chipsy-sneki-popkorn/chipsy-kukuruznye-nachos-delikados-originalnye-150g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ144468";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАЧИКУ";"Чипсы кукурузные Delicados Nachos с сыром 150 г Россия";;"Delicados";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607003120917";;"114.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601001144?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/chipsy-sneki-popkorn/chipsy-kukuruznye-nachos-delikados-s-syrom-150-g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ395992";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАЧИПР";"Чипсы цельнозерновые Dr.Korner кукурузно-рисовые с паприкой и чили Хлебпром 50г Россия";;"Dr.Korner";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607065715199";;"67";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601004566?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/khleb-khlebtsy/chipsy-kerner-kukuruzno-risovye-s-paprikoy-chili-50g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ395995";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАЧИПР";"Чипсы цельнозерновые Dr.Korner кукурузно-рисовые с сыром начо Хлебпром 50г Россия";;"Dr.Korner";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607065715182";;"66";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601004577?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/khleb-khlebtsy/chipsy-kerner-kukuruzno-risovye-s-syrom-nacho-50g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ141417";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБСУ";"Суп-пюре Knorr Чашка супа куриный с сухариками 16г Россия";;"Knorr";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`8722700343455,4605922004189";;"30.5";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601000008?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/chashka-supa-knorr-kurinyy-s-grenkami-17g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ392002";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАЧИКА";"Чипсы картофельные Lay's Из печи со вкусом Лисички в сметане Фрито Лей Мануфактуринг ООО 85г Россия";;"Lay's";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4690388058166";;"89.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601000988?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/chipsy-sneki-popkorn/chipsy-lays-iz-pechi-lisichki-v-smetane-85g/"
